"player_api_id","player_name","overall_rating","date","gk_rating","appearance","leagues"
30664,"Leonardo Franco",69,"2015-11-12 00:00:00",351,57,1
30669,"Marcus Hahnemann",65,"2014-11-14 00:00:00",321,39,1
30703,"Timo Hildebrand",73,"2014-10-24 00:00:00",357,79,1
30713,"Marco Amelia",70,"2015-10-16 00:00:00",347,88,1
30717,"Gianluigi Buffon",84,"2016-04-07 00:00:00",407,231,1
30720,"Dida",75,"2014-05-09 00:00:00",370,32,1
30726,"Edwin van der Sar",83,"2011-02-22 00:00:00",422,87,1
30742,"Mickael Landreau",81,"2014-01-17 00:00:00",404,207,1
30820,"Diego Benaglio",80,"2016-02-25 00:00:00",382,228,1
30841,"Maarten Stekelenburg",76,"2016-06-09 00:00:00",383,147,4
30850,"Zeljko Kalac",73,"2009-02-22 00:00:00",367,1,1
30855,"Ricardo",65,"2014-03-21 00:00:00",331,35,2
30859,"Petr Cech",86,"2016-01-28 00:00:00",414,251,1
30899,"Hamdi Kasraoui",63,"2012-08-31 00:00:00",313,12,1
30900,"Kossi Agassa",73,"2016-01-14 00:00:00",356,94,1
30934,"Boubacar Barry Copa",68,"2016-04-07 00:00:00",328,114,1
30967,"Quim",75,"2013-04-26 00:00:00",377,83,1
30973,"Lukasz Fabianski",78,"2015-09-21 00:00:00",392,102,1
30974,"Artur Boruc",76,"2015-11-19 00:00:00",373,201,3
30989,"Julio Cesar",82,"2015-10-16 00:00:00",396,202,3
30990,"Justo Villar",75,"2015-09-21 00:00:00",376,38,1
30992,"Oscar Ustari",71,"2016-03-17 00:00:00",362,36,1
31047,"Guillermo Ochoa",79,"2015-10-16 00:00:00",391,122,2
31226,"Geert De Vlieger",65,"2011-02-22 00:00:00",329,10,1
31293,"Steve Mandanda",83,"2016-01-14 00:00:00",407,300,1
31299,"Daniel Fernandes",67,"2013-04-19 00:00:00",334,32,1
31432,"Joe Hart",84,"2016-01-28 00:00:00",412,275,1
31465,"Tim Howard",79,"2016-04-14 00:00:00",392,282,1
31470,"Andrea Guatelli",62,"2013-03-15 00:00:00",315,31,1
32034,"Bruno Vale",64,"2010-02-22 00:00:00",316,17,1
32039,"Paulo Santos",71,"2012-02-22 00:00:00",351,30,1
32418,"Jamie Langfield",65,"2014-03-07 00:00:00",314,194,1
32446,"David Marshall",75,"2015-11-12 00:00:00",371,37,1
32496,"Allan McGregor",74,"2016-01-21 00:00:00",370,187,2
32562,"Craig Gordon",74,"2016-04-28 00:00:00",367,122,2
32584,"Jamie MacDonald",67,"2015-11-12 00:00:00",340,150,1
32633,"Zbigniew Malkowski",63,"2016-01-28 00:00:00",306,139,1
32653,"Hans-Joerg Butt",75,"2012-02-22 00:00:00",380,62,1
32657,"Victor Valdes",81,"2016-05-05 00:00:00",402,203,3
32658,"Mark Brown",61,"2014-12-05 00:00:00",303,115,1
32678,"German Dario Lux",76,"2016-04-14 00:00:00",383,53,1
32679,"Michael Fraser",58,"2014-01-03 00:00:00",286,55,1
32693,"Alan Combe",58,"2013-05-10 00:00:00",290,37,1
32713,"Cameron Bell",64,"2015-02-27 00:00:00",317,115,1
32746,"Morgan De Sanctis",77,"2016-02-18 00:00:00",373,220,1
32990,"Nicolas Ardouin",61,"2009-02-22 00:00:00",309,9,1
33018,"Daniel Aranzubia",74,"2014-02-28 00:00:00",373,141,1
33109,"Laurent Pionnier",72,"2016-03-03 00:00:00",368,41,1
33129,"Olivier Blondel",69,"2014-04-04 00:00:00",339,15,1
33272,"Peter Jehle",62,"2016-03-10 00:00:00",312,64,1
33330,"Danny Wintjens",63,"2015-02-06 00:00:00",318,3,1
33339,"Gerhard Tremmel",74,"2016-02-04 00:00:00",359,60,2
33431,"Romain Salin",75,"2015-10-09 00:00:00",366,131,1
33439,"Vladimir Stojkovic",75,"2010-02-22 00:00:00",371,9,2
33473,"Tom Starke",75,"2015-12-03 00:00:00",367,63,1
33546,"Ronan Le Crom",67,"2012-08-31 00:00:00",330,16,1
33550,"Romuald Peiser",67,"2014-01-10 00:00:00",327,104,1
33617,"Lionel Letizi",72,"2011-02-22 00:00:00",360,17,1
33630,"Ivan Cuellar",76,"2016-04-28 00:00:00",388,64,1
33644,"Antonio Doblas",68,"2014-03-07 00:00:00",344,18,2
33676,"Peter Mollez",61,"2008-08-30 00:00:00",307,8,1
33682,"Cees Paauwe",63,"2012-02-22 00:00:00",328,24,1
33688,"Jeremy Gavanon",66,"2007-08-30 00:00:00",332,4,1
33731,"Esteban",72,"2015-09-21 00:00:00",352,51,1
33732,"Jose Manuel Pinto",72,"2013-09-20 00:00:00",368,30,1
33753,"Gustavo Adolfo Munua",74,"2013-09-20 00:00:00",382,125,1
33764,"Gorka Iraizoz Moreno",79,"2016-03-10 00:00:00",393,286,1
33826,"Francesco Arnau",67,"2011-02-22 00:00:00",339,20,1
33827,"Inaki Goitia",66,"2014-10-10 00:00:00",329,26,1
33845,"Miguel Angel Moya",80,"2016-04-28 00:00:00",406,146,1
33914,"Craig Samson",64,"2015-11-12 00:00:00",309,162,1
33948,"Jason Brown",60,"2013-07-12 00:00:00",298,27,2
33958,"Asier Riesgo",71,"2015-09-21 00:00:00",354,75,1
33986,"Andres Palop",72,"2013-09-20 00:00:00",361,115,1
34003,"Ludovic Butelle",74,"2016-04-14 00:00:00",363,43,2
34213,"Ryan Esson",60,"2016-02-04 00:00:00",295,119,1
34270,"Davide Taini",55,"2014-03-21 00:00:00",272,7,1
34382,"Roberto Abbondanzieri",73,"2010-08-30 00:00:00",371,13,1
34421,"Chris Kirkland",61,"2016-05-05 00:00:00",303,68,1
34480,"Davy Schollen",69,"2012-02-22 00:00:00",349,11,1
34485,"Franco Costanzo",65,"2016-01-21 00:00:00",320,64,1
34489,"Henk Timmer",70,"2009-02-22 00:00:00",360,20,1
34530,"Christian Abbiati",75,"2016-04-14 00:00:00",369,167,1
34656,"Chris Smith",59,"2013-02-15 00:00:00",289,19,1
35336,"Kyle Letheren",63,"2015-09-21 00:00:00",311,24,1
35442,"Bradley Jones",70,"2016-02-25 00:00:00",352,43,2
35453,"Ricardo Batista",65,"2014-12-05 00:00:00",328,28,1
35477,"David Stockdale",72,"2016-04-07 00:00:00",364,37,1
35492,"Sean Murdoch",59,"2014-01-31 00:00:00",291,9,1
35495,"Dorus De Vries",71,"2016-02-25 00:00:00",360,4,1
35496,"Kelvin Davis",71,"2016-03-17 00:00:00",342,18,1
35513,"Mark Howard",64,"2015-09-21 00:00:00",318,44,1
35626,"Emanuele Belardi",67,"2014-04-11 00:00:00",329,7,1
35644,"Antonio Mirante",78,"2016-04-07 00:00:00",384,244,1
35875,"Benedikt Pliquett",63,"2014-09-18 00:00:00",310,5,1
35906,"Tomasz Kuszczak",71,"2016-03-17 00:00:00",349,16,1
35954,"Jonathan Tuffey",60,"2013-03-22 00:00:00",299,8,1
35991,"Christian Vander",64,"2013-04-05 00:00:00",317,6,1
36013,"Dennis Gentenaar",65,"2014-05-02 00:00:00",322,56,1
36029,"Christopher Heimeroth",67,"2016-04-14 00:00:00",330,27,1
36054,"Marc Ziegler",70,"2013-05-03 00:00:00",345,6,1
36058,"Dennis Eilhoff",69,"2011-08-30 00:00:00",342,34,1
36147,"Benedikt Fernandez",67,"2011-02-22 00:00:00",326,3,1
36181,"Sascha Burchert",66,"2016-01-07 00:00:00",328,3,1
36283,"Wayne Hennessey",74,"2015-12-17 00:00:00",380,103,1
36286,"David James",65,"2013-03-08 00:00:00",330,61,1
36343,"Manuel Salz",63,"2011-08-30 00:00:00",315,3,1
36373,"Scott Carson",72,"2016-02-04 00:00:00",358,67,1
36374,"Robert Green",76,"2016-04-21 00:00:00",370,163,1
36479,"Thorsten Kirschbaum",65,"2016-03-17 00:00:00",325,21,2
36617,"Andreas Isaksson",71,"2016-02-04 00:00:00",352,101,1
36622,"Jerzy Dudek",72,"2011-02-22 00:00:00",353,1,1
36835,"Bram Verbist",66,"2015-09-21 00:00:00",327,95,1
36846,"Luciano",66,"2013-09-20 00:00:00",328,98,1
36872,"Kenny Steppe",66,"2016-04-07 00:00:00",327,23,2
36878,"Thomas Kraft",76,"2015-11-06 00:00:00",362,116,1
37149,"Henrique Hilario",70,"2013-12-06 00:00:00",342,5,1
37193,"Michel Vorm",80,"2016-03-17 00:00:00",398,163,2
37206,"Gino Coutinho",68,"2015-09-21 00:00:00",338,155,1
37216,"Piet Velthuizen",72,"2015-10-30 00:00:00",368,156,2
37233,"Vito Mannone",74,"2016-04-07 00:00:00",365,72,1
37322,"Mathias Schober",68,"2012-02-22 00:00:00",333,4,1
37335,"Lukas Kruse",72,"2016-05-12 00:00:00",349,34,1
37377,"Markus Miller",70,"2015-03-13 00:00:00",341,33,1
37421,"Claudio Bravo",83,"2015-09-21 00:00:00",416,212,1
37439,"Dudu Aouate",70,"2014-05-16 00:00:00",349,159,1
37456,"David Cobeno",69,"2016-03-24 00:00:00",355,28,1
37503,"Albano Benjamin Bizzarri",75,"2015-11-26 00:00:00",374,108,1
37511,"Juan Jesus Calatayud",70,"2013-07-05 00:00:00",348,38,1
37579,"Tono",75,"2015-09-21 00:00:00",379,175,1
37623,"Roberto",80,"2016-02-18 00:00:00",392,113,2
37656,"Ruben",74,"2016-01-07 00:00:00",371,110,1
37678,"Tobias Sippel",73,"2016-03-31 00:00:00",362,38,1
37770,"Kasper Schmeichel",78,"2016-05-12 00:00:00",399,62,1
37780,"Darren Randolph",73,"2016-04-21 00:00:00",369,117,2
37839,"Bart Deelkens",64,"2011-08-30 00:00:00",319,22,1
37854,"Frank Boeckx",68,"2015-09-25 00:00:00",347,24,1
37868,"Simon Mignolet",78,"2016-03-17 00:00:00",376,223,2
37900,"Sammy Bossuyt",71,"2016-04-28 00:00:00",349,180,1
37937,"Davino Verhulst",70,"2016-04-14 00:00:00",354,100,2
37971,"Glenn Verbauwhede",68,"2012-02-22 00:00:00",346,63,1
37990,"Stijn Stijnen",69,"2013-05-17 00:00:00",340,81,1
37993,"Yves Lenaerts",63,"2016-02-11 00:00:00",318,10,1
38230,"Apoula Edima Edel",76,"2011-02-22 00:00:00",375,45,1
38252,"Frederic Herpoel",68,"2008-08-30 00:00:00",341,7,1
38289,"Jugoslav Lazic",60,"2015-04-24 00:00:00",301,38,1
38318,"Jurgen Sierens",64,"2010-02-22 00:00:00",311,39,1
38327,"Wouter Biebauw",68,"2015-09-21 00:00:00",339,59,1
38341,"Yves De Winter",65,"2016-04-28 00:00:00",319,94,2
38391,"Silvio Proto",75,"2016-02-04 00:00:00",373,184,1
38395,"Alberto Cifuentes",60,"2015-02-20 00:00:00",302,15,1
38427,"Jordi Codina",70,"2014-09-18 00:00:00",354,64,1
38434,"Damien Lahaye",58,"2011-02-22 00:00:00",290,7,1
38467,"Mariano Damian Barbosa",75,"2016-04-28 00:00:00",378,3,1
38484,"Juan Carlos",70,"2016-02-25 00:00:00",353,7,1
38520,"Sergio Sanchez",67,"2009-02-22 00:00:00",342,7,1
38536,"Enaut Zubikarai",71,"2016-01-28 00:00:00",353,30,2
38559,"Mikel Saizar",67,"2015-04-10 00:00:00",336,6,1
38617,"Adam Federici",73,"2015-11-19 00:00:00",371,27,1
38628,"Sven Neuhaus",66,"2014-01-31 00:00:00",312,2,1
38668,"Philipp Heerwagen",63,"2015-09-21 00:00:00",315,33,1
38793,"Logan Bailly",66,"2015-09-21 00:00:00",332,102,3
38797,"Sinan Bolat",69,"2016-01-28 00:00:00",349,78,1
38805,"Stephan Andersen",72,"2016-04-21 00:00:00",347,56,3
38962,"Sven van der Jeugt",59,"2011-02-22 00:00:00",295,19,1
39153,"Cedric Berthelin",61,"2014-01-17 00:00:00",301,41,1
39163,"Dimitrios Eleftheropoulos",71,"2009-02-22 00:00:00",352,1,1
39170,"Andrea Consigli",80,"2016-03-10 00:00:00",398,222,1
39204,"Alex Calderoni",64,"2013-09-20 00:00:00",310,8,1
39294,"Davide Bassi",70,"2015-09-21 00:00:00",345,8,1
39302,"Alberto Pelagotti",67,"2016-05-05 00:00:00",334,6,1
39313,"Cristiano Lupatelli",68,"2015-01-16 00:00:00",335,4,1
39323,"Matteo Sereni",73,"2011-02-22 00:00:00",358,46,1
39351,"Doni",74,"2012-08-31 00:00:00",366,53,2
39354,"Emanuele Manitta",72,"2009-02-22 00:00:00",358,5,1
39401,"Julio Sergio",71,"2013-11-15 00:00:00",348,56,1
39415,"Mariano Andujar",74,"2015-11-19 00:00:00",362,160,1
39420,"Carlo Zotti",59,"2011-02-22 00:00:00",296,33,1
39425,"Alberto Fontana",77,"2009-02-22 00:00:00",384,4,1
39477,"Stefano Sorrentino",77,"2016-03-24 00:00:00",377,247,1
39510,"Andrea Campagnolo",67,"2014-03-07 00:00:00",329,31,1
39522,"Pietro Marino",64,"2011-08-30 00:00:00",313,1,1
39565,"Vedran Runje",70,"2012-02-22 00:00:00",353,64,1
39566,"Alex Manninger",72,"2016-02-25 00:00:00",343,59,2
39567,"Nicola Pavarini",66,"2014-03-21 00:00:00",327,16,1
39573,"Olivier Renard",66,"2013-09-20 00:00:00",332,81,1
39584,"Stipe Pletikosa",73,"2016-06-02 00:00:00",368,2,1
39599,"Federico Marchetti",79,"2016-04-21 00:00:00",386,209,1
39609,"Martin Lejsal",66,"2011-02-22 00:00:00",324,10,1
39713,"Ciro Polito",64,"2015-04-24 00:00:00",317,4,1
39725,"Bogdan Lobont",70,"2015-09-21 00:00:00",355,18,1
39743,"Alberto Maria Fontana",66,"2011-08-30 00:00:00",321,12,1
39769,"Tommaso Berni",63,"2015-09-21 00:00:00",316,7,2
39890,"Mark Volders",64,"2012-02-22 00:00:00",316,8,1
39989,"Gregory Coupet",75,"2011-02-22 00:00:00",376,37,2
40014,"Sebastien Chabbert",64,"2014-02-28 00:00:00",312,22,2
40094,"Rune Almenning Jarstein",76,"2016-03-31 00:00:00",379,30,1
40186,"Mario Felgueiras",68,"2016-02-25 00:00:00",337,21,1
40549,"Kevin Olimpa",63,"2013-09-20 00:00:00",316,4,1
